indend_level,item_code,item_name,item_name_ri,item_code_cpi
4,SEHM09,"Unsampled tools, hardware, outdoor equipment and supplies","Unsampled tools, hardware, outdoor equipment and supplies",SEHM
4,SEHN01,Household cleaning products,Household cleaning products,SEHN01
4,SEHN02,Household paper products,Household paper products,SEHN02
4,SEHN03,Miscellaneous household products,Miscellaneous household products,SEHN03
4,SEHP01,Domestic services,Domestic services,SEHP01
4,SEHP02,Gardening and lawncare services,Gardening and lawncare services,SEHP02
4,SEHP03,"Moving, storage, freight expense","Moving, storage, freight expense",SEHP03
4,SEHP04,Repair of household items,Repair of household items,SEHP04
4,SEHP09,Unsampled household operations,Unsampled household operations,SEHP
4,SEAA01,"Men's suits, sport coats, and outerwear","Men's suits, sport coats, and outerwear",SEAA01
4,SEAA02,Men's furnishings,"Men's underwear, nightwear, swimwear and accessories",SEAA02
4,SEAA03,Men's shirts and sweaters,Men's shirts and sweaters,SEAA03
4,SEAA04,Men's pants and shorts,Men's pants and shorts,SEAA04
4,SEAA09,Unsampled men's apparel,Unsampled men's apparel,SEAA
3,SEAB01,Boys' apparel,Boys' apparel,SEAB
,SEAB09,Unsampled boys' apparel,,
4,SEAC01,Women's outerwear,Women's outerwear,SEAC01
4,SEAC02,Women's dresses,Women's dresses,SEAC02
4,SEAC03,Women's suits and separates,Women's suits and separates,SEAC03
4,SEAC04,"Women's underwear, nightwear, sportswear and accessories","Women's underwear, nightwear, swimwear, and accessories",SEAC04
4,SEAC09,Unsampled women's apparel,Unsampled women's apparel,SEAC
3,SEAD01,Girls' apparel,Girls' apparel,SEAD
,SEAD09,Unsampled girls' apparel,,
3,SEAE01,Men's footwear,Men's footwear,SEAE01
3,SEAE02,Boys' and girls' footwear,Boys' and girls' footwear,SEAE02
3,SEAE03,Women's footwear,Women's footwear,SEAE03
2,SEAF01,Infants' and toddlers' apparel,Infants' and toddlers' apparel,SEAF
3,SEAG01,Watches,Watches,SEAG01
3,SEAG02,Jewelry,Jewelry,SEAG02
4,SETA01,New vehicles,New vehicles,SETA01
4,SETA02,Used cars and trucks,Used cars and trucks,SETA02
4,SETA03,Leased cars and trucks,Leased cars and trucks,SETA03
4,SETA04,Car and truck rental,Car and truck rental,SETA04
4,SETA09,Unsampled new and used motor vehicles,Unsampled new and used motor vehicles,SETA
4,SETB01,Gasoline (all types),Gasoline (all types),SETB01
4,SETB02,Other motor fuels,Other motor fuels,SETB02
4,SETC01,Tires,Tires,SETC01
4,SETC02,Vehicle accessories other than tires,Vehicle accessories other than tires,SETC02
4,SETD01,Motor vehicle body work,Motor vehicle body work,SETD01
4,SETD02,Motor vehicle maintenance and servicing,Motor vehicle maintenance and servicing,SETD02
4,SETD03,Motor vehicle repair,Motor vehicle repair,SETD03
4,SETD09,Unsampled service policies,Unsampled service policies,SETD
3,SETE01,Motor vehicle insurance,Motor vehicle insurance,SETE
4,SETF01,State motor vehicle registration and license fees,State motor vehicle registration and license fees,SETF01
4,SETF03,Parking and other fees,Parking and other fees,SETF03
4,SETF09,Unsampled motor vehicle fees,Unsampled motor vehicle fees,SETF
3,SETG01,Airline fare,Airline fares,SETG01
3,SETG02,Other intercity transportation,Other intercity transportation,SETG02
3,SETG03,Intracity transportation,Intracity transportation,SETG03
3,SETG09,Unsampled public transportation,Unsampled public transportation,SETG
4,SEMF01,Prescription drugs ,Prescription drugs,SEMF01
4,SEMF02,Nonprescription drugs,Nonprescription drugs,SEMF02
3,SEMG01,Medical equipment and supplies,Medical equipment and supplies,SEMG
,SEMG09,Unsampled rent or repair of medical equipment,,
4,SEMC01,Physicians' services,Physicians' services,SEMC01
4,SEMC02,Dental services,Dental services,SEMC02
4,SEMC03,Eyeglasses and eye care,Eyeglasses and eye care,SEMC03
