ym,series_id,price,area_code,item_code,avg_base_price,is_overall,is_local,is_us_proxy,price_scale,cpi_yr
198312,CUUR0000SA0,107.423117709438,0,SA0,102.332979851538,1,0,0,1.04974093264249,1984
198512,CUUR0000SA0,115.906680805938,0,SA0,107.891481088724,1,0,0,1.07428945859612,1986
198712,CUUR0000SA0,122.37539766702,0,SA0,115.151113467656,1,0,0,1.06273742373662,1988
198912,CUUR0000SA0,133.72216330859,0,SA0,122.949805585012,1,0,0,1.08761589879968,1990
199112,CUUR0000SA0,146.235418875928,0,SA0,135.007953340403,1,0,0,1.08316151202749,1992
199312,CUUR0000SA0,154.612937433722,0,SA0,146.610993283846,1,0,0,1.0545794279859,1994
199512,CUUR0000SA0,162.778366914104,0,SA0,155.187345351714,1,0,0,1.04891520983999,1996
199712,CUUR0000SA0,171.049840933192,0,SA0,163.962530929657,1,0,0,1.04322518055406,1998
199912,CUUR0000SA0,178.47295864263,0,SA0,171.540296924708,1,0,0,1.04041418746619,2000
200112,CUUR0000SA0,187.380699893955,0,SA0,179.62619300106,1,0,0,1.04317024573832,2002
200312,CUUR0000SA0,195.440084835631,0,SA0,189.258571933545,1,0,0,1.03266173277613,2004
200512,CUUR0000SA0,208.695652173913,0,SA0,197.689112760693,1,0,0,1.05567600187747,2006
200712,CUUR0000SA0,222.731707317073,0,SA0,210.436550017674,1,0,0,1.05842690967119,2008
200912,CUUR0000SA0,229.002120890774,0,SA0,224.095926122304,1,0,0,1.02189327960291,2010
201112,CUUR0000SA0,239.312831389183,0,SA0,229.370360551431,1,0,0,1.04334679866156,2012
201312,CUUR0000SA0,247.135737009544,0,SA0,241.003755744079,1,0,0,1.02544350915417,2014
201512,CUUR0000SA0,250.821845174973,0,SA0,249.042020148462,1,0,0,1.0071466856294,2016
201712,CUUR0000SA0,261.425238600212,0,SA0,252.929038529516,1,0,0,1.03359124013633,2018
201912,CUUR0000SA0,272.506892895016,0,SA0,263.110507246377,1,0,0,1.03571269633805,2020
202112,CUUR0000SA0,295.654294803817,0,SA0,272.782917992223,1,0,0,1.08384460793929,2022
202212,CUUR0000SA0,314.737009544008,0,SA0,287.348621420997,1,0,0,1.09531414484458,2023
202312,CUUR0000SA0,325.287380699894,0,SA0,310.344556380346,1,0,0,1.04814914266205,2024
202412,CUUR0000SA0,334.681866383881,0,SA0,323.119388476493,1,0,0,1.03578391863733,2025
198312,CUUR0000SEHL02,104.771784232365,0,SEHL02,102.13520055325,0,0,0,1.02581464240372,1984
198512,CUUR0000SEHL02,105.497925311203,0,SEHL02,104.529737206086,0,0,0,1.00926232219649,1986
198712,CUUR0000SEHL02,108.030497925311,0,SEHL02,105.688105117566,0,0,0,1.02216325862915,1988
198912,CUUR0000SEHL02,112.38143153527,0,SEHL02,108.883882261411,0,0,0,1.03212182741117,1990
199112,CUUR0000SEHL02,123.086850622407,0,SEHL02,112.735165975104,0,0,0,1.0918230310637,1992
199312,CUUR0000SEHL02,126.537883817427,0,SEHL02,125.13829813278,0,0,0,1.0111843113222,1994
199512,CUUR0000SEHL02,132.979812448133,0,SEHL02,127.223297354772,0,0,0,1.04524733451381,1996
199712,CUUR0000SEHL02,123.201885062241,0,SEHL02,133.286570954357,0,0,0,0.92433831990794,1998
199912,CUUR0000SEHL02,125.157470539419,0,SEHL02,128.110021161826,0,0,0,0.976953008081413,2000
200112,CUUR0000SEHL02,135.280501244813,0,SEHL02,129.350175470591,0,0,0,1.04584706400782,2002
200312,CUUR0000SEHL02,137.121052282158,0,SEHL02,136.162431950208,0,0,0,1.00704027034638,2004
200512,CUUR0000SEHL02,140.802154356847,0,SEHL02,137.619534854772,0,0,0,1.02312621900251,2006
200712,CUUR0000SEHL02,142.648457116183,0,SEHL02,139.939396058091,0,0,0,1.0193588162762,2008
200912,CUUR0000SEHL02,145.076834141079,0,SEHL02,144.832673542531,0,0,0,1.00168581158226,2010
201112,CUUR0000SEHL02,145.577233954357,0,SEHL02,145.882650392116,0,0,0,0.997906423848631,2012
201312,CUUR0000SEHL02,143.87012286722,0,SEHL02,145.287251303942,0,0,0,0.990246023487929,2014
201512,CUUR0000SEHL02,149.060476792531,0,SEHL02,145.680573226141,0,0,0,1.0232007843705,2016
201712,CUUR0000SEHL02,150.401778360996,0,SEHL02,147.568767693983,0,0,0,1.01919790150235,2018
201912,CUUR0000SEHL02,150.708920315353,0,SEHL02,150.033811946577,0,0,0,1.00449970816589,2020
202112,CUUR0000SEHL02,165.16874940249,0,SEHL02,152.284556623963,0,0,0,1.08460603664718,2022
202212,CUUR0000SEHL02,175.499992443983,0,SEHL02,161.770727911826,0,0,0,1.08486865769462,2023
202312,CUUR0000SEHL02,178.672642294606,0,SEHL02,170.934371389004,0,0,0,1.04527042070428,2024
202412,CUUR0000SEHL02,184.812030348548,0,SEHL02,175.819884048755,0,0,0,1.05114408048011,2025
198312,CUUR0000SEHK02,101.414141414141,0,SEHK02,101.506734006734,0,0,0,0.99908781822705,1984
198512,CUUR0000SEHK02,93.8383838383839,0,SEHK02,100.770202020202,0,0,0,0.931211627615587,1986
198712,CUUR0000SEHK02,90.3272727272728,0,SEHK02,94.9284511784512,0,0,0,0.951530037685657,1988
198912,CUUR0000SEHK02,91.5353535353535,0,SEHK02,93.4868686868687,0,0,0,0.979125248508946,1990
199112,CUUR0000SEHK02,87.8181818181818,0,SEHK02,92.073569023569,0,0,0,0.95378274948484,1992
199312,CUUR0000SEHK02,88.0969696969697,0,SEHK02,89.5644781144781,0,0,0,0.983615062037958,1994
199512,CUUR0000SEHK02,87.8181818181819,0,SEHK02,88.9023569023569,0,0,0,0.987804878048781,1996
199712,CUUR0000SEHK02,85.1232323232324,0,SEHK02,88.1240740740741,0,0,0,0.965947537238016,1998
199912,CUUR0000SEHK02,82.3992888888889,0,SEHK02,85.9288983164984,0,0,0,0.95892406982097,2000
200112,CUUR0000SEHK02,75.9299232323233,0,SEHK02,81.8459878787879,0,0,0,0.927717108684347,2002
200312,CUUR0000SEHK02,69.7159272727273,0,SEHK02,76.0824356902357,0,0,0,0.916320917439747,2004
200512,CUUR0000SEHK02,65.6300121212121,0,SEHK02,69.3718875420876,0,0,0,0.946060637046884,2006
200712,CUUR0000SEHK02,64.4859558787879,0,SEHK02,66.0485346801347,0,0,0,0.976341961121254,2008
200912,CUUR0000SEHK02,63.2525202424243,0,SEHK02,64.7280605387206,0,0,0,0.977204008833022,2010
201112,CUUR0000SEHK02,60.6145512727273,0,SEHK02,64.1529467003367,0,0,0,0.944844381909103,2012
201312,CUUR0000SEHK02,59.5556182626263,0,SEHK02,61.5001875690236,0,0,0,0.968381083322472,2014
201512,CUUR0000SEHK02,56.2000604444445,0,SEHK02,59.4323669158249,0,0,0,0.945613701100641,2016
201712,CUUR0000SEHK02,53.923013979798,0,SEHK02,56.999474,0,0,0,0.946026519118369,2018
201912,CUUR0000SEHK02,57.6233208888889,0,SEHK02,55.5515278181818,0,0,0,1.03729497913159,2020
202112,CUUR0000SEHK02,61.0214403232324,0,SEHK02,57.458039946128,0,0,0,1.06201743708009,2022
202212,CUUR0000SEHK02,62.1782650505051,0,SEHK02,60.1728326329967,0,0,0,1.03332787122953,2023
202312,CUUR0000SEHK02,62.1714551919192,0,SEHK02,62.8098084983165,0,0,0,0.989836725797143,2024
202412,CUUR0000SEHK02,60.3830160808081,0,SEHK02,65.4235173468014,0,0,0,0.922955819705103,2025
198312,CUUR0000SEEE01,101.414141414141,0,SEEE01,101.506734006734,0,0,0,0.99908781822705,1984
198512,CUUR0000SEEE01,93.8383838383839,0,SEEE01,100.770202020202,0,0,0,0.931211627615587,1986
198712,CUUR0000SEEE01,90.4040404040404,0,SEEE01,94.9284511784512,0,0,0,0.952338727554866,1988
198912,CUUR0000SEEE01,84.4600000000001,0,SEEE01,91.7171717171717,0,0,0,0.920874449339207,1990
199112,CUUR0000SEEE01,78.9022222222223,0,SEEE01,86.445462962963,0,0,0,0.912739888454613,1992
199312,CUUR0000SEEE01,68.4244444444445,0,SEEE01,78.5036111111112,0,0,0,0.871608878572465,1994
199512,CUUR0000SEEE01,55.5777777777778,0,SEEE01,68.6939814814815,0,0,0,0.809063277148384,1996
199712,CUUR0000SEEE01,43.3688888888889,0,SEEE01,55.1487962962963,0,0,0,0.786397742135334,1998
199912,CUUR0000SEEE01,20.4674800913514,0,SEEE01,39.7759716181776,0,0,0,0.51456895353369,2000
200112,CUUR0000SEEE01,10.9643062257969,0,SEEE01,20.5007463674577,0,0,0,0.534824734147302,2002
200312,CUUR0000SEEE01,7.01886128487738,0,SEEE01,11.2141262701486,0,0,0,0.625894618608067,2004
200512,CUUR0000SEEE01,5.08101995829611,0,SEEE01,7.12285876940391,0,0,0,0.713339983676431,2006
200712,CUUR0000SEEE01,3.87568265316255,0,SEEE01,5.12704368980241,0,0,0,0.755929320608523,2008
200912,CUUR0000SEEE01,3.02148219640553,0,SEEE01,3.94065847284282,0,0,0,0.766745511499707,2010
201112,CUUR0000SEEE01,2.49392427365704,0,SEEE01,3.07498438056466,0,0,0,0.811036403768359,2012
201312,CUUR0000SEEE01,2.12654831496376,0,SEEE01,2.54310830139344,0,0,0,0.836200453515315,2014
201512,CUUR0000SEEE01,1.78269774997518,0,SEEE01,2.11913930162513,0,0,0,0.8412366986012,2016
201712,CUUR0000SEEE01,1.60271104756231,0,SEEE01,1.78927833614669,0,0,0,0.895730426722671,2018
201912,CUUR0000SEEE01,1.4727981650283,0,SEEE01,1.61640835600569,0,0,0,0.911154758360524,2020
202112,CUUR0000SEEE01,1.52705772217258,0,SEEE01,1.50512458809122,0,0,0,1.01457230468155,2022
202212,CUUR0000SEEE01,1.43845961672128,0,SEEE01,1.5278683857942,0,0,0,0.941481367175197,2023
202312,CUUR0000SEEE01,1.38644795551584,0,SEEE01,1.51235919571046,0,0,0,0.916745148538956,2024
202412,CUUR0000SEEE01,1.31548420613643,0,SEEE01,1.43511684043293,0,0,0,0.916639097998177,2025
198312,CUUR0000SEEE04,101.414141414141,0,SEEE04,101.506734006734,0,0,0,0.99908781822705,1984
198512,CUUR0000SEEE04,93.8383838383839,0,SEEE04,100.770202020202,0,0,0,0.931211627615587,1986
198712,CUUR0000SEEE04,90.4040404040404,0,SEEE04,94.9284511784512,0,0,0,0.952338727554866,1988
198912,CUUR0000SEEE04,84.4600000000001,0,SEEE04,91.7171717171717,0,0,0,0.920874449339207,1990
199112,CUUR0000SEEE04,78.9022222222223,0,SEEE04,86.445462962963,0,0,0,0.912739888454613,1992
199312,CUUR0000SEEE04,68.4244444444445,0,SEEE04,78.5036111111112,0,0,0,0.871608878572465,1994
199512,CUUR0000SEEE04,55.5777777777778,0,SEEE04,68.6939814814815,0,0,0,0.809063277148384,1996
199712,CUUR0000SEEE04,43.3688888888889,0,SEEE04,55.1487962962963,0,0,0,0.786397742135334,1998
199912,CUUR0000SEEE04,34.5216355555556,0,SEEE04,43.4360225925926,0,0,0,0.794769720960656,2000
200112,CUUR0000SEEE04,28.1897777777778,0,SEEE04,34.8161825925926,0,0,0,0.809674573104272,2002
200312,CUUR0000SEEE04,22.6819288888889,0,SEEE04,28.3072351851852,0,0,0,0.801276731567188,2004
200512,CUUR0000SEEE04,19.1690488888889,0,SEEE04,22.8264918518519,0,0,0,0.839772007599747,2006
200712,CUUR0000SEEE04,16.022636,0,SEEE04,18.9648537037037,0,0,0,0.84485945688423,2008
200912,CUUR0000SEEE04,15.1765089777778,0,SEEE04,16.3884345074074,0,0,0,0.926049951318911,2010
201112,CUUR0000SEEE04,13.7622495111111,0,SEEE04,15.032542337037,0,0,0,0.915497139642428,2012
201312,CUUR0000SEEE04,12.4486058666667,0,SEEE04,13.8702199740741,0,0,0,0.897506015761491,2014
201512,CUUR0000SEEE04,9.51817004444445,0,SEEE04,12.387925562963,0,0,0,0.768342528058255,2016
201712,CUUR0000SEEE04,8.59224426666667,0,SEEE04,9.83494363703704,0,0,0,0.87364448478479,2018
201912,CUUR0000SEEE04,6.51877768888889,0,SEEE04,8.52305281851852,0,0,0,0.764840700590893,2020
202112,CUUR0000SEEE04,4.99002435555556,0,SEEE04,6.57571742592593,0,0,0,0.758856263482598,2022
202212,CUUR0000SEEE04,4.09315573333333,0,SEEE04,5.10943336296297,0,0,0,0.80109778180172,2023
202312,CUUR0000SEEE04,3.64602248888889,0,SEEE04,4.4406850962963,0,0,0,0.821049547496582,2024
202412,CUUR0000SEEE04,3.29386711111111,0,SEEE04,3.87060105185185,0,0,0,0.850996283777475,2025
198312,CUUR0000SEAG01,105.619146722164,0,SEAG01,102.289281997919,0,0,0,1.03255340793489,1984
198512,CUUR0000SEAG01,109.677419354839,0,SEAG01,104.942767950052,0,0,0,1.04511650966782,1986
198712,CUUR0000SEAG01,115.343184183143,0,SEAG01,108.424384321887,0,0,0,1.06381221258048,1988
198912,CUUR0000SEAG01,120.139854318418,0,SEAG01,116.263475546306,0,0,0,1.03334132885584,1990
199112,CUUR0000SEAG01,127.279084287201,0,SEAG01,122.119875130073,0,0,0,1.04224708837634,1992
199312,CUUR0000SEAG01,132.410405827263,0,SEAG01,128.831494970517,0,0,0,1.02777978209106,1994
