indend_level,item_code,item_name,item_name_ri,item_code_cpi,indent_level,CPIU,CPIW,year,name_2,name_3,name_1,ri_ref_ym,cpi_yr
6,SEFS03,Other fats and oils including peanut butter,Other fats and oils including peanut butter,SEFS03,6,0.098,0.125,2001,Food,Food at home,Food and beverages,200112,2002
6,SEFT01,Soups,Soups,SEFT01,6,0.101,0.113,2001,Food,Food at home,Food and beverages,200112,2002
6,SEFT02,Frozen and freeze dried prepared foods,Frozen and freeze dried prepared foods,SEFT02,6,0.253,0.283,2001,Food,Food at home,Food and beverages,200112,2002
6,SEFT03,Snacks,Snacks,SEFT03,6,0.267,0.294,2001,Food,Food at home,Food and beverages,200112,2002
6,SEFT04,"Spices, seasonings, condiments, sauces","Spices, seasonings, condiments, sauces",SEFT04,6,0.238,0.268,2001,Food,Food at home,Food and beverages,200112,2002
6,SEFT05,Baby food,Baby food,SEFT05,6,0.084,0.115,2001,Food,Food at home,Food and beverages,200112,2002
6,SEFT06,Other miscellaneous foods,Other miscellaneous foods,SEFT06,6,0.289,0.31,2001,Food,Food at home,Food and beverages,200112,2002
4,SEFV01,Full service meals and snacks,Full service meals and snacks,SEFV01,4,2.649,2.198,2001,Food,Food away from home,Food and beverages,200112,2002
4,SEFV02,Limited service meals and snacks,Limited service meals and snacks,SEFV02,4,2.741,3.354,2001,Food,Food away from home,Food and beverages,200112,2002
4,SEFV03,Food at employee sites and schools,Food at employee sites and schools,SEFV03,4,0.296,0.375,2001,Food,Food away from home,Food and beverages,200112,2002
4,SEFV04,Food from vending machines and mobile vendors,Food from vending machines and mobile vendors,SEFV04,4,0.151,0.229,2001,Food,Food away from home,Food and beverages,200112,2002
4,SEFV05,Other food away from home,Other food away from home,SEFV05,4,0.383,0.275,2001,Food,Food away from home,Food and beverages,200112,2002
5,SEFW01,"Beer, ale, and other malt beverages at home","Beer, ale, and other malt beverages at home",SEFW01,5,0.352,0.469,2001,Food,Alcoholic beverages,Food and beverages,200112,2002
5,SEFW02,Distilled spirits at home,Distilled spirits at home,SEFW02,5,0.109,0.102,2001,Food,Alcoholic beverages,Food and beverages,200112,2002
5,SEFW03,Wine at home,Wine at home,SEFW03,5,0.221,0.139,2001,Food,Alcoholic beverages,Food and beverages,200112,2002
4,SEFX01,Alcoholic beverages away from home,Alcoholic beverages away from home,SEFX,4,0.348,0.292,2001,Food,Alcoholic beverages,Food and beverages,200112,2002
3,SEHA01,Rent of primary residence,Rent of primary residence,SEHA,3,6.421,8.395,2001,Shelter,Rent of primary residence,Housing,200112,2002
4,SEHB01,"Housing at school, excluding board","Housing at school, excluding board",SEHB01,4,0.241,0.176,2001,Shelter,Lodging away from home,Housing,200112,2002
4,SEHB02,Other lodging away from home including hotels and motels,Other lodging away from home including hotels and motels,SEHB02,4,2.461,1.347,2001,Shelter,Lodging away from home,Housing,200112,2002
4,SEHC01,Owners' equivalent rent of primary residence,Owners' equivalent rent of primary residence,SEHC01,4,22.046,18.98,2001,Shelter,Owners' equivalent rent of residences,Housing,200112,2002
4,SEHC09,Unsampled owners' equivalent rent of secondary residences,Unsampled owners' equivalent rent of secondary residences,SEHC,4,0,0,2001,Shelter,Owners' equivalent rent of residences,Housing,200112,2002
3,SEHD01,Tenants' and household insurance,Tenants' and household insurance,SEHD,3,0.353,0.314,2001,Shelter,Tenants' and household insurance,Housing,200112,2002
5,SEHE01,Fuel oil,Fuel oil,SEHE01,5,0.121,0.105,2001,Fuels and utilities,Household energy,Housing,200112,2002
5,SEHE02,"Propane, kerosene, and firewood","Propane, kerosene, and firewood",SEHE02,5,0.068,0.072,2001,Fuels and utilities,Household energy,Housing,200112,2002
5,SEHF01,Electricity,Electricity,SEHF01,5,2.521,2.762,2001,Fuels and utilities,Household energy,Housing,200112,2002
5,SEHF02,Utility (piped) gas service,Utility (piped) gas service,SEHF02,5,0.945,1.017,2001,Fuels and utilities,Household energy,Housing,200112,2002
4,SEHG01,Water and sewerage maintenance,Water and sewerage maintenance,SEHG01,4,0.633,0.66,2001,Fuels and utilities,Water and sewer and trash collection services,Housing,200112,2002
4,SEHG02,Garbage and trash collection,Garbage and trash collection,SEHG02,4,0.224,0.213,2001,Fuels and utilities,Water and sewer and trash collection services,Housing,200112,2002
4,SEHH01,Floor coverings,Floor coverings,SEHH01,4,0.041,0.041,2001,Household furnishings and operations,Window and floor coverings and other linens,Housing,200112,2002
4,SEHH02,Window coverings,Window coverings,SEHH02,4,0.092,0.061,2001,Household furnishings and operations,Window and floor coverings and other linens,Housing,200112,2002
4,SEHH03,Other linens,Other linens,SEHH03,4,0.156,0.151,2001,Household furnishings and operations,Window and floor coverings and other linens,Housing,200112,2002
4,SEHJ01,Bedroom furniture,Bedroom furniture,SEHJ01,4,0.306,0.284,2001,Household furnishings and operations,Furniture and bedding,Housing,200112,2002
4,SEHJ02,"Living room, kitchen, and dining room furniture","Living room, kitchen, and dining room furniture",SEHJ02,4,0.555,0.495,2001,Household furnishings and operations,Furniture and bedding,Housing,200112,2002
4,SEHJ03,Other furniture,Other furniture,SEHJ03,4,0.181,0.154,2001,Household furnishings and operations,Furniture and bedding,Housing,200112,2002
4,SEHJ09,Unsampled furniture,Unsampled furniture,SEHJ,4,0.01,0.021,2001,Household furnishings and operations,Furniture and bedding,Housing,200112,2002
4,SEHK01,Major appliances,Major appliances,SEHK01,4,0.199,0.226,2001,Household furnishings and operations,Appliances,Housing,200112,2002
